@relation merge_avg_avg1-weka.filters.unsupervised.attribute.Remove-R1

@attribute R_FG {'Toronto Raptors','Brooklyn Nets','Charlotte Bobcats','Minnesota Timberwolves','Orlando Magic','Phoenix Suns','Los Angeles Lakers','Detroit Pistons','Atlanta Hawks','Milwaukee Bucks','Portland Trail Blazers','Boston Celtics','Sacramento Kings','Denver Nuggets','Chicago Bulls','Cleveland Cavaliers','New York Knicks','Oklahoma City Thunder','Miami Heat','Memphis Grizzlies','Indiana Pacers','Los Angeles Clippers','Washington Wizards','San Antonio Spurs','Golden State Warriors','Utah Jazz','Dallas Mavericks','New Orleans Hornets','Houston Rockets','Philadelphia 76ers'}
@attribute avg_R_FG numeric
@attribute avg_R_FGA numeric
@attribute avg_R_FGP numeric
@attribute avg_R_3P numeric
@attribute avg_R_3PA numeric
@attribute avg_R_3PP numeric
@attribute avg_R_FT numeric
@attribute avg_R_FTA numeric
@attribute avg_R_FTP numeric
@attribute avg_R_ORB numeric
@attribute avg_R_DRB numeric
@attribute avg_R_TRB numeric
@attribute avg_R_AST numeric
@attribute avg_R_STL numeric
@attribute avg_R_BLK numeric
@attribute avg_R_TOV numeric
@attribute avg_R_PF numeric
@attribute avg_R_PTS numeric
@attribute avg_R_HOME numeric
@attribute avg_R_WIN numeric
@attribute avg1_R_FG numeric
@attribute avg1_R_FGA numeric
@attribute avg1_R_FGP numeric
@attribute avg1_R_3P numeric
@attribute avg1_R_3PA numeric
@attribute avg1_R_3PP numeric
@attribute avg1_R_FT numeric
@attribute avg1_R_FTA numeric
@attribute avg1_R_FTP numeric
@attribute avg1_R_ORB numeric
@attribute avg1_R_DRB numeric
@attribute avg1_R_TRB numeric
@attribute avg1_R_AST numeric
@attribute avg1_R_STL numeric
@attribute avg1_R_BLK numeric
@attribute avg1_R_TOV numeric
@attribute avg1_R_PF numeric
@attribute avg1_R_PTS numeric
@attribute avg1_R_HOME numeric
@attribute avg1_R_WIN numeric
@attribute H_TEAM {'Sacramento Kings','Boston Celtics','Golden State Warriors','Washington Wizards','Minnesota Timberwolves','Los Angeles Clippers','Houston Rockets','Brooklyn Nets','Los Angeles Lakers','San Antonio Spurs','Orlando Magic','Miami Heat','Cleveland Cavaliers','New Orleans Hornets','Charlotte Bobcats','Indiana Pacers','Atlanta Hawks','Chicago Bulls','Philadelphia 76ers','Phoenix Suns','Milwaukee Bucks','Utah Jazz','Oklahoma City Thunder','Memphis Grizzlies','Toronto Raptors','New York Knicks','Portland Trail Blazers','Detroit Pistons','Denver Nuggets','Dallas Mavericks'}
@attribute avg_H_FG numeric
@attribute avg_H_FGA numeric
@attribute avg_H_FGP numeric
@attribute avg_H_3P numeric
@attribute avg_H_3PA numeric
@attribute avg_H_3PP numeric
@attribute avg_H_FT numeric
@attribute avg_H_FTA numeric
@attribute avg_H_FTP numeric
@attribute avg_H_ORB numeric
@attribute avg_H_DRB numeric
@attribute avg_H_TRB numeric
@attribute avg_H_AST numeric
@attribute avg_H_STL numeric
@attribute avg_H_BLK numeric
@attribute avg_H_TOV numeric
@attribute avg_H_PF numeric
@attribute avg_H_PTS numeric
@attribute avg_H_HOME numeric
@attribute avg_H_WIN numeric
@attribute avg1_H_FG numeric
@attribute avg1_H_FGA numeric
@attribute avg1_H_FGP numeric
@attribute avg1_H_3P numeric
@attribute avg1_H_3PA numeric
@attribute avg1_H_3PP numeric
@attribute avg1_H_FT numeric
@attribute avg1_H_FTA numeric
@attribute avg1_H_FTP numeric
@attribute avg1_H_ORB numeric
@attribute avg1_H_DRB numeric
@attribute avg1_H_TRB numeric
@attribute avg1_H_AST numeric
@attribute avg1_H_STL numeric
@attribute avg1_H_BLK numeric
@attribute avg1_H_TOV numeric
@attribute avg1_H_PF numeric
@attribute avg1_H_PTS numeric
@attribute avg1_H_HOME numeric
@attribute avg1_H_WIN numeric
@attribute RESULT {0,1}

@data
'Phoenix Suns',38.290323,85.354839,0.448602,6.290323,18.677419,0.336788,14.548387,19.451613,0.747927,11.193548,28.645161,39.83871,22.193548,8.129032,5.645161,12.83871,20.516129,97.419355,0.516129,0.354839,45,97,0.463918,2,17,0.117647,15,24,0.625,11,35,46,29,7,5,4,23,107,0,0,'Oklahoma City Thunder',37.344828,78.310345,0.476882,7.62069,18.965517,0.401818,23.344828,27.586207,0.84625,10.413793,33.034483,43.448276,21.862069,8,7.62069,15.310345,20.655172,105.655172,0.586207,0.793103,45,94,0.478723,13,29,0.448276,21,23,0.913043,12,41,53,22,16,9,21,18,124,0,1,1
'Boston Celtics',35.8,78,0.458974,5.4,14.2,0.380282,19.8,25.4,0.779528,6.4,31,37.4,25.4,7.4,3.6,14.4,17.8,96.8,0.6,0.4,37,76,0.486842,4,10,0.4,22,31,0.709677,7,24,31,31,7,3,14,19,100,1,0,'Milwaukee Bucks',39,83.5,0.467066,7.25,18,0.402778,13.5,18.25,0.739726,9,31.5,40.5,25.25,10.25,7.25,16,18.5,98.75,0.5,0.75,40,78,0.512821,6,15,0.4,15,19,0.789474,6,32,38,21,11,6,21,21,101,0,1,0
'Los Angeles Lakers',36.272727,78.181818,0.463953,7,20.636364,0.339207,20.454545,30.545455,0.669643,13.545455,32.909091,46.454545,21.454545,7.454545,5.818182,16,17.818182,100,0.818182,0.545455,35,73,0.479452,6,21,0.285714,19,37,0.513514,8,35,43,23,5,5,11,18,95,1,1,'Sacramento Kings',36,86.1,0.418118,5.3,17.8,0.297753,13.9,19.1,0.727749,12.6,28.3,40.9,17.3,9.2,4.6,13.8,24.3,91.2,0.6,0.2,37,80,0.4625,6,18,0.333333,10,19,0.526316,15,27,42,13,6,4,17,24,90,1,0,1
'Memphis Grizzlies',36.285714,82,0.442509,4.7,13.542857,0.347046,16.228571,20.885714,0.777018,13.242857,29.514286,42.757143,20.985714,8.585714,5.271429,13.542857,20.171429,93.5,0.514286,0.671429,34,77,0.441558,6,16,0.375,20,22,0.909091,9,34,43,17,8,1,16,25,94,0,0,'New York Knicks',36.028986,81.463768,0.44227,10.623188,28.826087,0.368527,16.318841,21.57971,0.756212,11.028986,29.869565,40.898551,19.275362,8.376812,3.753623,11.73913,19.797101,99,0.492754,0.623188,39,90,0.433333,8,28,0.285714,14,18,0.777778,15,26,41,11,12,3,8,24,100,0,1,1
'Detroit Pistons',35.142857,79.190476,0.443776,5.714286,15.666667,0.364742,17.714286,24.380952,0.726563,11.190476,30.142857,41.333333,20.809524,6.285714,5.238095,14.666667,20.047619,93.714286,0.47619,0.285714,36,70,0.514286,8,14,0.571429,24,31,0.774194,5,23,28,14,6,1,8,19,104,1,0,'Cleveland Cavaliers',35.15,85.45,0.411352,7.85,22.45,0.349666,16.05,22.05,0.727891,14.05,28.45,42.5,19.45,8.75,2.65,15.05,21.55,94.2,0.35,0.2,30,87,0.344828,7,24,0.291667,6,9,0.666667,11,30,41,15,15,2,18,24,73,0,0,0
'Detroit Pistons',36.128205,80.948718,0.44631,6.24359,17.538462,0.355994,15.679487,22.487179,0.697263,12.166667,30.064103,42.230769,21.166667,6.846154,4.974359,14.487179,19.717949,94.179487,0.5,0.333333,39,73,0.534247,9,18,0.5,12,17,0.705882,8,32,40,25,6,2,13,23,99,1,1,'Cleveland Cavaliers',36.493506,84.272727,0.433041,6.753247,19.376623,0.348525,16.987013,22.38961,0.758701,12.272727,28.584416,40.857143,20.649351,7.987013,4.025974,13.480519,21.233766,96.727273,0.493506,0.311688,39,85,0.458824,3,10,0.3,13,15,0.866667,14,25,39,18,5,7,17,29,94,0,0,0
'Memphis Grizzlies',35.333333,84.666667,0.417323,4.333333,13.666667,0.317073,24.666667,29.666667,0.831461,13.333333,31.666667,45,22.333333,10.666667,6,14,21.333333,99.666667,0.333333,0.666667,38,91,0.417582,5,14,0.357143,22,25,0.88,14,37,51,21,9,10,11,17,103,1,1,'Milwaukee Bucks',40.5,82.5,0.490909,8.5,21,0.404762,12.5,16.5,0.757576,7,34.5,41.5,29,10,7,16.5,17.5,102,0.5,1,41,79,0.518987,9,24,0.375,14,21,0.666667,3,34,37,32,8,9,15,18,105,1,1,0
'Atlanta Hawks',36.95122,81,0.456188,8.682927,22.878049,0.379531,13.170732,18.853659,0.698577,9.756098,30.682927,40.439024,23.317073,8.292683,4.853659,14.390244,17.95122,95.756098,0.512195,0.560976,41,71,0.577465,10,16,0.625,12,21,0.571429,7,25,32,32,11,5,22,23,104,1,1,'Charlotte Bobcats',34.829268,82.170732,0.423865,5.707317,16.390244,0.348214,19.658537,26.365854,0.745606,11.682927,29.536585,41.219512,19.04878,7.317073,6.414634,12.878049,19.731707,95.02439,0.536585,0.243902,34,81,0.419753,6,15,0.4,20,24,0.833333,8,32,40,17,5,10,10,27,94,1,0,0
'Philadelphia 76ers',35.75,83.0625,0.430399,7.3125,18.875,0.387417,14.625,18.9375,0.772277,10.5,30.5625,41.0625,21.6875,8,5.8125,12.3125,19.0625,93.4375,0.625,0.625,44,86,0.511628,8,17,0.470588,8,10,0.8,13,26,39,26,5,6,10,18,104,0,1,'Chicago Bulls',35.642857,81.142857,0.439261,3.857143,12.428571,0.310345,19.357143,24.214286,0.79941,12.785714,30.857143,43.642857,22.785714,7.5,5.214286,15.428571,19,94.5,0.571429,0.5,34,69,0.492754,6,10,0.6,27,33,0.818182,10,34,44,24,8,6,19,19,101,1,1,1
'Brooklyn Nets',35.275,79.65,0.442875,7.45,21.75,0.342529,18.6,24.75,0.751515,12.65,29.35,42,20.15,7.275,4.7,13.425,18.65,96.6,0.575,0.6,30,74,0.405405,9,26,0.346154,25,38,0.657895,11,37,48,18,8,2,18,22,94,1,1,'New York Knicks',37.105263,83.368421,0.445076,11.184211,28.894737,0.387067,16.105263,21.447368,0.75092,10.894737,29.657895,40.552632,20.026316,8.447368,3.894737,10.894737,19.236842,101.5,0.5,0.657895,33,72,0.458333,11,31,0.354839,25,31,0.806452,10,34,44,17,9,5,16,22,102,0,1,0
'Charlotte Bobcats',34.298701,81.350649,0.421616,5.701299,17.064935,0.334094,19.038961,25.415584,0.749106,11.363636,28.896104,40.25974,19.090909,7.285714,5.883117,13.012987,19.220779,93.337662,0.493506,0.233766,36,80,0.45,7,21,0.333333,17,23,0.73913,13,30,43,18,4,6,15,24,96,0,0,'Memphis Grizzlies',36.233766,81.38961,0.445189,4.636364,13.376623,0.346602,16.493506,21.207792,0.77771,12.831169,29.532468,42.363636,20.974026,8.623377,5.25974,13.376623,20.207792,93.597403,0.493506,0.675325,32,73,0.438356,3,7,0.428571,22,29,0.758621,8,37,45,17,9,12,14,25,89,0,1,1
'Miami Heat',38,78,0.487179,8.382353,21.382353,0.392022,17.441176,22.794118,0.765161,8,31.147059,39.147059,21.911765,8,5.058824,13.5,19,101.823529,0.558824,0.676471,35,77,0.454545,6,19,0.315789,14,20,0.7,8,37,45,20,9,6,17,21,90,0,0,'Sacramento Kings',36.472222,83.166667,0.438544,6.75,19.305556,0.34964,17.222222,22.416667,0.768278,11.833333,28.75,40.583333,19.833333,8.083333,4.805556,13.805556,21.111111,96.916667,0.527778,0.361111,40,81,0.493827,7,27,0.259259,25,32,0.78125,7,34,41,23,8,7,20,29,112,1,0,0
'Milwaukee Bucks',38.145161,86.870968,0.439101,6.758065,18.935484,0.356899,15.983871,21.693548,0.736803,12.532258,31.016129,43.548387,22.935484,8.451613,7.241935,13.854839,19.403226,99.032258,0.5,0.516129,43,89,0.483146,8,21,0.380952,14,17,0.823529,7,35,42,30,8,6,9,22,108,1,0,'Washington Wizards',35.096774,81.693548,0.429615,6.532258,18.419355,0.354641,14.983871,20.274194,0.739061,10.725806,32.725806,43.451613,21.774194,7.306452,4.741935,15.064516,20.709677,91.709677,0.516129,0.322581,31,76,0.407895,5,17,0.294118,23,28,0.821429,11,35,46,20,4,5,14,22,90,0,0,1
'San Antonio Spurs',39.666667,81.666667,0.485714,8.577778,22.533333,0.380671,16.177778,20.6,0.785329,8.177778,33.4,41.577778,25.244444,8.533333,5.311111,14.422222,17.288889,104.088889,0.466667,0.755556,43,80,0.5375,8,25,0.32,12,23,0.521739,6,33,39,29,9,3,8,20,106,1,1,'Dallas Mavericks',37.833333,84.047619,0.450142,7.047619,19.642857,0.358788,17.452381,21.97619,0.79415,9.404762,32.5,41.904762,22.261905,7.785714,5.214286,13.952381,21.214286,100.166667,0.452381,0.428571,45,90,0.5,8,15,0.533333,13,15,0.866667,10,33,43,29,9,7,8,13,111,0,1,0
'Detroit Pistons',36.073171,81.04878,0.44508,6.390244,17.097561,0.373752,16.731707,23.634146,0.707946,12.560976,31.268293,43.829268,20.463415,6.292683,5.682927,14.439024,19.853659,95.268293,0.560976,0.390244,42,91,0.461538,7,23,0.304348,14,21,0.666667,16,38,54,23,8,5,8,13,105,1,1,'Chicago Bulls',35.5,81.05,0.438001,4.7,13.075,0.359465,18.125,23.15,0.782937,12.4,31.325,43.725,22.875,7.325,5.25,14.35,19.8,93.825,0.575,0.6,39,93,0.419355,9,17,0.529412,8,12,0.666667,14,26,40,25,9,11,8,20,95,1,1,1
'San Antonio Spurs',38.153846,80.153846,0.476008,7.153846,19.846154,0.360465,16.692308,21.538462,0.775,8.923077,31,39.923077,24,8.615385,4.846154,14.384615,18.615385,100.153846,0.461538,0.769231,41,83,0.493976,2,17,0.117647,20,22,0.909091,6,31,37,19,8,2,10,21,104,0,1,'Toronto Raptors',35.153846,82.846154,0.424327,7.307692,20.538462,0.355805,18.230769,23.846154,0.764516,11,29.076923,40.076923,21.153846,7.538462,4.461538,12.461538,24,95.846154,0.384615,0.230769,32,78,0.410256,6,18,0.333333,20,25,0.8,9,28,37,20,6,6,11,23,90,0,0,0
'Brooklyn Nets',35,79.222222,0.441795,7.611111,21.444444,0.354922,17.907407,24.185185,0.740429,12.537037,29.796296,42.333333,19.944444,7.018519,4.796296,13.814815,18.259259,95.518519,0.555556,0.592593,43,91,0.472527,10,19,0.526316,17,23,0.73913,17,32,49,25,6,4,15,17,113,1,1,'Milwaukee Bucks',37.730769,87.134615,0.433017,6.480769,18.673077,0.347065,15.769231,21.461538,0.734767,13.115385,30.346154,43.461538,22.153846,8.5,7.576923,13.826923,19.211538,97.711538,0.5,0.5,46,96,0.479167,7,20,0.35,12,18,0.666667,12,31,43,23,4,10,8,21,111,0,0,0
'Philadelphia 76ers',37.156863,83.941176,0.442654,6.098039,17.411765,0.350225,11.882353,16.490196,0.720571,10.862745,30.666667,41.529412,22.294118,7.215686,4.980392,12.509804,18.666667,92.294118,0.568627,0.431373,34,76,0.447368,4,13,0.307692,20,24,0.833333,11,30,41,18,5,4,14,22,92,0,0,'Minnesota Timberwolves',35.54,81.4,0.436609,5.46,18.16,0.300661,18.58,25.38,0.732072,12.94,30.36,43.3,21.86,7.94,4.94,14.62,18.3,95.12,0.5,0.38,29,85,0.341176,5,22,0.227273,30,38,0.789474,14,35,49,18,8,3,10,19,93,1,0,1
'New York Knicks',37.321429,83.392857,0.447537,11.428571,29.071429,0.39312,16.214286,21.464286,0.755408,10.142857,29.357143,39.5,19.821429,8.857143,3.678571,10.5,19,102.285714,0.5,0.714286,38,89,0.426966,9,26,0.346154,9,16,0.5625,11,29,40,20,9,3,10,25,94,0,0,'Phoenix Suns',38.071429,85.142857,0.447148,6.535714,18.821429,0.347249,14.642857,19.535714,0.749543,11.464286,28.321429,39.785714,22.071429,8.321429,5.821429,13.214286,20.535714,97.321429,0.535714,0.392857,29,80,0.3625,3,17,0.176471,16,24,0.666667,12,29,41,18,10,2,14,21,77,1,0,0
'Denver Nuggets',40.628205,85.012821,0.477907,6.346154,18.487179,0.343273,18.179487,26.076923,0.697148,13.294872,31.525641,44.820513,24.371795,9.230769,6.525641,14.512821,20.576923,105.782051,0.5,0.692308,39,86,0.453488,6,15,0.4,12,21,0.571429,16,37,53,26,8,9,17,16,96,1,1,'Dallas Mavericks',38.692308,84.012821,0.460552,7.320513,19.858974,0.368625,16.346154,20.589744,0.793898,9.333333,32.602564,41.935897,23.179487,7.897436,5.525641,13.512821,20.782051,101.051282,0.487179,0.487179,34,85,0.4,6,17,0.352941,17,21,0.809524,14,36,50,21,6,8,13,17,91,1,0,1
'Philadelphia 76ers',36.794118,83.970588,0.438179,6.676471,18.411765,0.36262,12.823529,17.647059,0.726667,11.264706,30.5,41.764706,21.705882,7.676471,5.176471,12.352941,19.176471,93.088235,0.470588,0.441176,34,84,0.404762,11,24,0.458333,6,8,0.75,12,28,40,21,8,4,20,19,85,0,0,'San Antonio Spurs',39.771429,82.114286,0.484342,8.828571,22.571429,0.391139,16.857143,21.285714,0.791946,8.514286,33.171429,41.685714,25.342857,8.714286,5.171429,14.542857,17.457143,105.228571,0.428571,0.742857,28,77,0.363636,9,34,0.264706,18,21,0.857143,7,28,35,14,8,5,13,11,83,0,0,1
'Indiana Pacers',35.184211,80.723684,0.43586,6.921053,19.605263,0.35302,17.526316,23.355263,0.750423,12.855263,33.197368,46.052632,20.434211,7.118421,6.473684,14.434211,20.144737,94.815789,0.5,0.631579,27,72,0.375,2,21,0.095238,19,24,0.791667,9,22,31,13,6,3,11,19,75,1,0,'Washington Wizards',35.306667,81.6,0.43268,6.666667,18.32,0.363901,15.626667,21.253333,0.735257,10.906667,32.586667,43.493333,21.786667,7.16,4.506667,14.68,20.733333,92.906667,0.506667,0.373333,26,80,0.325,5,19,0.263158,21,29,0.724138,10,31,41,14,7,2,14,27,78,0,0,1
'Phoenix Suns',38.222222,90.111111,0.424168,5.888889,18.333333,0.321212,16.666667,22.111111,0.753769,14.666667,29.666667,44.333333,20.555556,8.222222,7.222222,12.666667,21.444444,99,0.555556,0.444444,42,105,0.4,6,21,0.285714,16,17,0.941176,20,31,51,19,6,6,12,27,106,1,0,'Los Angeles Lakers',34.5,76.625,0.450245,6.75,20.625,0.327273,20.75,30.375,0.683128,14.375,33,47.375,20.125,7.5,5.875,17.625,18.5,96.5,0.75,0.375,31,74,0.418919,6,20,0.3,14,22,0.636364,13,35,48,18,5,9,17,14,82,1,0,1
'Phoenix Suns',37.354167,84.145833,0.443922,5.833333,17.708333,0.329412,15.020833,20,0.751042,11.1875,29.479167,40.666667,22.041667,7.854167,5.4375,13.520833,20.5,95.5625,0.5,0.333333,35,86,0.406977,5,15,0.333333,18,24,0.75,15,33,48,22,7,1,12,21,93,0,0,'Memphis Grizzlies',36.152174,83.065217,0.435226,4.652174,13.782609,0.337539,16.173913,20.456522,0.790648,13.73913,29.413043,43.152174,20.565217,9.065217,5.282609,13.978261,19.652174,93.130435,0.543478,0.652174,35,78,0.448718,1,7,0.142857,14,17,0.823529,12,34,46,22,9,6,18,12,85,1,1,0
'New Orleans Hornets',35.933333,80.4,0.446932,7.044444,18.822222,0.374262,14.577778,18.866667,0.772674,11.511111,30.088889,41.6,21.266667,6.422222,5.222222,13.644444,20.4,93.488889,0.488889,0.333333,39,92,0.423913,9,19,0.473684,19,21,0.904762,8,29,37,21,8,0,9,25,106,0,0,'Utah Jazz',36.711111,81.977778,0.447818,6.244444,17.111111,0.364935,18.466667,24.088889,0.766605,12.444444,29.511111,41.955556,22.866667,8.422222,6.333333,14.2,21.555556,98.133333,0.444444,0.533333,32,81,0.395062,5,18,0.277778,11,19,0.578947,14,25,39,19,2,9,15,19,80,1,0,1
'Indiana Pacers',33.956522,81.173913,0.418318,6.608696,19.434783,0.340045,16.652174,22.73913,0.732314,12.695652,33.782609,46.478261,19.695652,6,7.217391,14.565217,19.26087,91.173913,0.434783,0.521739,35,77,0.454545,8,14,0.571429,17,27,0.62963,14,34,48,19,4,10,16,21,95,1,1,'Detroit Pistons',35.16,79.96,0.43972,5.76,15.64,0.368286,18.64,25.4,0.733858,11.64,30.28,41.92,20.44,6.28,5.36,14.28,20.48,94.72,0.44,0.28,40,99,0.40404,5,16,0.3125,20,26,0.769231,18,36,54,21,5,4,11,21,105,0,0,0
'Golden State Warriors',37.619048,82.690476,0.454938,7.738095,20.071429,0.385528,17.404762,21.666667,0.803297,10.857143,33.690476,44.547619,22.642857,7.02381,3.857143,15,21.595238,100.380952,0.47619,0.619048,27,78,0.346154,4,19,0.210526,29,33,0.878788,10,27,37,12,6,5,11,19,87,0,0,'Milwaukee Bucks',37.463415,86.097561,0.435127,6.292683,18.219512,0.345382,16.073171,21.682927,0.741282,12.682927,30.756098,43.439024,22.219512,8.536585,7.512195,14.02439,19.121951,97.292683,0.487805,0.536585,43,92,0.467391,14,28,0.5,8,13,0.615385,11,30,41,34,6,6,17,20,108,0,0,1
'Washington Wizards',34.769231,83.102564,0.418389,6.615385,19.564103,0.338139,14.846154,20.179487,0.735705,11.333333,32.410256,43.74359,21.384615,7.461538,4.820513,14.871795,20.794872,91,0.487179,0.230769,39,84,0.464286,8,19,0.421053,12,17,0.705882,11,33,44,23,6,1,15,18,98,0,1,'Utah Jazz',36.682927,81.926829,0.447752,6.512195,17.463415,0.372905,18.804878,24.487805,0.767928,12.658537,29.780488,42.439024,22.97561,8.243902,6.317073,14.292683,21.97561,98.682927,0.414634,0.536585,45,90,0.5,6,16,0.375,13,17,0.764706,15,31,46,30,7,5,8,24,109,1,1,1
'Golden State Warriors',38.166667,83.229167,0.458573,7.791667,19.916667,0.391213,17.166667,21.375,0.803119,10.9375,33.6875,44.625,23.125,6.833333,4.0625,14.770833,21.770833,101.291667,0.458333,0.625,41,86,0.476744,3,15,0.2,24,30,0.8,11,29,40,21,2,5,12,26,109,0,0,'Oklahoma City Thunder',37.833333,79,0.478903,7.541667,19.625,0.384289,22.6875,27.208333,0.833844,10.4375,32.75,43.1875,21.833333,8.270833,7.104167,15.166667,20.708333,105.895833,0.5,0.75,41,87,0.471264,10,25,0.4,20,27,0.740741,8,40,48,25,11,8,11,19,112,1,1,1
'Oklahoma City Thunder',37.986301,79.027397,0.480673,7.273973,19.246575,0.377936,22.753425,27.493151,0.827603,10.315068,33.09589,43.410959,21.424658,8.328767,7.534247,15,20.342466,106,0.506849,0.726027,36,79,0.455696,5,16,0.3125,16,20,0.8,11,30,41,16,5,10,16,28,93,0,0,'Milwaukee Bucks',38.183099,87.478873,0.436484,6.816901,19.225352,0.354579,15.633803,21.169014,0.738523,12.971831,30.915493,43.887324,22.816901,8.309859,6.957746,13.619718,19.084507,98.816901,0.507042,0.492958,45,93,0.483871,7,19,0.368421,16,22,0.727273,15,28,43,22,12,4,12,25,113,1,1,0
'Denver Nuggets',40.75,85.1875,0.478357,6.578125,19,0.346217,17.765625,25.6875,0.691606,13.171875,31.734375,44.90625,24.546875,9.15625,6.640625,14.703125,20.796875,105.84375,0.484375,0.65625,42,78,0.538462,9,17,0.529412,18,22,0.818182,6,37,43,23,13,8,19,21,111,1,1,'Phoenix Suns',37.142857,84.015873,0.442093,5.68254,17.285714,0.328742,14.68254,19.809524,0.741186,11.555556,30.015873,41.571429,22.285714,7.888889,5.380952,14.539683,20.698413,94.650794,0.492063,0.349206,37,82,0.45122,8,18,0.444444,25,39,0.641026,17,30,47,18,13,4,16,20,107,1,1,0
'Miami Heat',38.727273,78.227273,0.495061,8.545455,20.727273,0.412281,17.136364,22.727273,0.754,7.818182,30.5,38.318182,22.954545,8.136364,4.818182,13.5,19.090909,103.136364,0.636364,0.727273,36,77,0.467532,13,25,0.52,18,23,0.782609,6,18,24,25,12,14,8,18,103,1,1,'Dallas Mavericks',37.56,82.4,0.455825,7.36,19.56,0.376278,17.68,22.44,0.787879,9,32.12,41.12,21.92,7.84,5.44,15.12,21.84,100.16,0.44,0.48,39,72,0.541667,4,11,0.363636,25,29,0.862069,6,29,35,19,9,4,11,13,107,1,1,0
'Orlando Magic',37.765957,83.234043,0.453732,6.787234,19.531915,0.347495,12.510638,16.021277,0.780876,10.531915,32,42.531915,23.212766,6.06383,4.276596,14.148936,18.914894,94.829787,0.510638,0.297872,41,94,0.43617,5,19,0.263158,11,22,0.5,20,32,52,32,9,5,17,17,98,0,0,'Philadelphia 76ers',37.391304,83.913043,0.445596,6.326087,17.673913,0.357934,12.173913,16.934783,0.71887,10.608696,30.326087,40.934783,22.217391,7.326087,5.065217,12.478261,18.826087,93.282609,0.543478,0.434783,36,76,0.473684,3,14,0.214286,14,19,0.736842,9,38,47,20,6,4,18,18,89,1,1,1
'Boston Celtics',36.625,79.59375,0.460149,5.53125,15.78125,0.350495,16.625,21.125,0.786982,7.90625,30.5625,38.46875,23.03125,8.59375,3.96875,13.8125,21.15625,95.40625,0.5,0.46875,40,89,0.449438,4,9,0.444444,10,18,0.555556,12,37,49,22,9,8,14,28,94,1,1,'Atlanta Hawks',37.483871,82.129032,0.456402,8.903226,23.516129,0.378601,13.548387,19.225806,0.704698,9.967742,30.806452,40.774194,23.516129,8.806452,5,13.967742,17.225806,97.419355,0.516129,0.645161,31,75,0.413333,10,29,0.344828,12,20,0.6,6,32,38,26,7,4,17,20,84,0,0,0
'Oklahoma City Thunder',38.130435,79.202899,0.481427,7.376812,19.463768,0.379002,22.768116,27.463768,0.829024,10.376812,33.028986,43.405797,21.565217,8.318841,7.478261,15.101449,20.405797,106.405797,0.507246,0.724638,30,84,0.357143,2,18,0.111111,27,32,0.84375,14,32,46,9,7,7,15,28,89,0,0,'Orlando Magic',37.73913,83.666667,0.451065,6.405797,19.449275,0.329359,12.405797,16.144928,0.768402,10.536232,31.666667,42.202899,22.956522,6.217391,4.144928,14.101449,19.405797,94.289855,0.507246,0.26087,38,79,0.481013,5,17,0.294118,13,18,0.722222,14,28,42,18,7,0,16,13,94,0,0,0
'New Orleans Hornets',36.448276,80.431034,0.453162,6.758621,18.12069,0.372978,14.844828,19.293103,0.769437,11.310345,30.017241,41.327586,21.482759,6.413793,5.568966,13.568966,20.431034,94.5,0.482759,0.344828,40,87,0.45977,5,14,0.357143,12,15,0.8,12,26,38,22,8,8,7,22,97,1,0,'Oklahoma City Thunder',38.285714,79.285714,0.482883,7.625,19.464286,0.391743,22.375,26.857143,0.833112,10.232143,32.714286,42.946429,21.964286,8.428571,7.535714,15.25,20.339286,106.571429,0.517857,0.732143,36,79,0.455696,6,17,0.352941,24,27,0.888889,14,38,52,17,9,9,17,19,102,1,1,1
'Dallas Mavericks',37.333333,83.611111,0.446512,7.055556,19.916667,0.354254,16.694444,21.194444,0.78768,9.25,32.166667,41.416667,21.694444,7.805556,5.333333,14.5,21.305556,98.416667,0.416667,0.361111,36,84,0.428571,6,18,0.333333,15,18,0.833333,10,24,34,21,10,3,13,17,93,0,0,'Sacramento Kings',36.371429,83.228571,0.437007,6.742857,19.085714,0.353293,17,22.142857,0.767742,11.971429,28.6,40.571429,19.742857,8.085714,4.742857,13.628571,20.885714,96.485714,0.514286,0.371429,28,76,0.368421,5,21,0.238095,20,23,0.869565,11,26,37,14,5,1,14,19,81,1,0,0
'Brooklyn Nets',35.238806,79.373134,0.443964,7.791045,21.626866,0.360248,17.298507,23.492537,0.736341,12.522388,30.149254,42.671642,20.104478,7.134328,4.80597,13.925373,18,95.567164,0.537313,0.58209,45,83,0.542169,9,21,0.428571,20,23,0.869565,13,28,41,21,9,8,9,17,119,0,1,'Dallas Mavericks',38.701493,84.223881,0.459507,7.567164,20.164179,0.375278,16.567164,20.850746,0.79456,9.313433,32.791045,42.104478,23.089552,7.970149,5.41791,13.671642,20.940299,101.537313,0.462687,0.477612,51,89,0.573034,13,22,0.590909,12,14,0.857143,10,29,39,33,7,3,12,20,127,0,1,0
